DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
11/06/2018,POR,118,91,0.527,43,0.395,8,0.625,51,23,7,3,12,17,POR,103,92,0.435,42,0.381,8,0.875,42,26,2,1,11,16,1
11/07/2018,CLE,86,89,0.371,31,0.29,13,0.846,51,17,3,4,19,26,OKC,95,84,0.417,27,0.259,26,0.692,44,10,13,9,12,23,-1
11/07/2018,ORL,96,87,0.46,27,0.333,9,0.778,40,2810,10,8,20,19,DET,103,90,0.411,37,0.297,20,0.9,50,21,13,1,19,15,-1
11/07/2018,ATL,107,92,0.402,38,0.289,29,0.759,45,26,5,9,17,30,NYK,112,77,0.442,30,0.367,47,0.702,48,15,8,7,16,30,-1
11/07/2018,MIA,95,93,0.387,32,0.313,18,0.722,60,21,8,11,13,17,SAS,88,94,0.33,32,0.406,14,0.929,49,19,8,5,12,19,1
11/07/2018,IND,94,94,0.394,31,0.258,17,0.706,41,19,9,6,9,21,PHI,100,79,0.456,32,0.313,22,0.818,43,24,7,8,16,18,-1
11/07/2018,MEM,89,70,0.429,21,0.381,25,0.84,36,19,7,7,17,22,DEN,87,82,0.39,32,0.25,19,0.789,41,19,9,3,16,22,1
11/07/2018,NOP,107,94,0.447,30,0.367,17,0.706,55,32,5,10,15,18,CHI,98,96,0.396,31,0.29,17,0.765,46,18,9,7,11,16,1
11/07/2018,UTA,117,89,0.483,37,0.351,26,0.692,35,31,12,10,11,32,DAL,102,73,0.397,24,0.333,40,0.9,49,14,3,4,24,27,1
11/07/2018,SAC,105,88,0.477,23,0.348,18,0.722,31,27,10,5,15,26,TOR,114,89,0.461,36,0.306,23,0.913,53,17,10,4,20,20,-1
11/07/2018,LAL,114,91,0.484,34,0.441,14,0.786,47,32,6,4,16,14,MIN,110,91,0.451,40,0.5,9,0.889,40,22,10,5,15,17,1
11/08/2018,OKC,98,81,0.444,37,0.243,24,0.708,52,18,10,4,14,16,HOU,80,82,0.378,42,0.262,10,0.7,39,16,9,3,16,26,1
11/08/2018,PHX,109,93,0.441,35,0.314,19,0.842,42,25,10,6,15,23,BOS,116,97,0.402,37,0.378,31,0.774,56,21,6,6,16,18,-1
